Date,Hotel_Name,Location,Room_Type,Occupancy_Rate,Bookings,Cancellations,Average_Daily_Rate,Revenue_per_Room,Season,Day_of_Week,Customer_Segment,Booking_Channel,Promotion_Applied,Lead_Time_Days,No_Show,Food_And_Beverage_Revenue,Total_Revenue,Customer_Rating,Length_of_Stay,CheckIn_Rating,Room_Cleanliness_Rating,Spa_Used,Parking_Used,Loyalty_Member,Referral_Source,Complaints_Received,Early_CheckIn,Early_CheckIn,Late_CheckOut,Special_Requests,Customer_Tier,Event_Attendance,Room_Service_Orders,Avg_Response_Time_Min,MiniBar_Usage,InRoom_Dining,Total_Laundry_Cost,Hotel_Branch,Mobile_CheckIn_Used
9/14/2023,Grand Inn,Chicago,Suite,82.44212263,187,4,185.44,152.88,Autumn,Thursday,Business,Walk-in,Yes,0,No,28.39,181.27,1.7,3,2.1,2.9,No,No,No,Email,1,No,No,No,3,Silver,Yes,5,23.1,No,Yes,31.9,Downtown,Yes
9/15/2023,Mountain Stay,Miami,Standard,67.09260792,170,9,114.02,76.5,Autumn,Friday,Group,Agent,Yes,39,No,60.94,137.44,3.8,2,4.3,4.2,Yes,No,No,Email,0,Yes,Yes,Yes,2,Bronze,Yes,0,29,Yes,No,17.27,Airport,Yes
9/16/2023,Sunset Resort,Miami,Standard,66.03227738,75,20,119.26,78.75,Autumn,Saturday,Group,Agent,No,31,Yes,164.5,243.25,4.1,4,3.4,1.3,Yes,No,No,Email,1,No,No,No,2,Silver,Yes,0,26.1,Yes,No,57.09,Airport,No
9/17/2023,Sunset Resort,New York,Standard,39.94206453,153,26,134.38,53.67,Autumn,Sunday,Leisure,Walk-in,Yes,21,No,43.75,97.42,2.3,4,3.9,2.4,Yes,Yes,No,OTA,0,No,No,No,4,Gold,Yes,4,17.4,Yes,No,84.47,Downtown,No
9/18/2023,Sunset Resort,Seattle,Standard,79.53127045,105,9,139.72,111.12,Autumn,Monday,Leisure,Walk-in,No,65,No,48.59,159.71,2.3,5,3,4.7,No,Yes,Yes,Email,0,Yes,Yes,No,0,Bronze,No,2,23.1,Yes,No,76.84,Beachside,No
9/19/2023,City Lodge,New York,Deluxe,51.41112408,197,26,97.03,49.88,Autumn,Tuesday,Leisure,Online,No,39,No,128.46,178.34,3.2,7,4.7,2,Yes,Yes,Yes,OTA,1,Yes,Yes,No,0,Silver,Yes,1,12.2,No,Yes,78.83,Airport,Yes
9/20/2023,Mountain Stay,Los Angeles,Deluxe,70.89898945,121,6,194.95,138.22,Autumn,Wednesday,Leisure,Agent,Yes,37,No,55.22,193.44,4.4,9,4.3,3,Yes,Yes,No,Social Media,0,No,No,No,3,Silver,No,1,6.6,Yes,Yes,89.3,Beachside,No
9/21/2023,Grand Inn,New York,Standard,74.16065407,184,25,146.09,108.34,Autumn,Thursday,Group,Agent,No,47,No,43.49,151.83,1.9,2,1.3,2.6,No,Yes,No,Friend,0,Yes,Yes,No,4,Bronze,Yes,4,29.8,No,No,38.94,Airport,Yes
9/22/2023,Ocean View,New York,Standard,90.40987894,73,14,141.6,128.02,Autumn,Friday,Corporate,Online,No,54,No,50.84,178.86,4.8,5,4.7,4.1,Yes,Yes,No,OTA,0,Yes,Yes,Yes,2,Bronze,Yes,5,9.9,Yes,No,4.54,Suburban,No
9/23/2023,Grand Inn,Chicago,Standard,50.36769401,196,6,198.68,100.07,Autumn,Saturday,Corporate,Agent,No,74,No,98.13,198.2,3.4,9,3.8,3.8,Yes,No,Yes,OTA,0,No,No,Yes,1,Bronze,No,3,25.2,Yes,No,47.73,Downtown,Yes
9/24/2023,Ocean View,Miami,Deluxe,30,134,28,171.53,51.46,Autumn,Sunday,Corporate,Phone,No,80,No,193.22,244.68,5,3,1.2,4,Yes,No,Yes,Email,0,No,No,No,0,Platinum,No,0,9.3,No,No,84.85,Suburban,Yes
9/25/2023,Grand Inn,Seattle,Standard,72.75774317,158,26,133.94,97.45,Autumn,Monday,Business,Phone,No,54,No,166.45,263.9,1.4,1,3.7,4.3,Yes,Yes,No,Friend,0,No,No,No,4,Gold,Yes,1,15.7,Yes,No,95.03,Suburban,Yes
9/26/2023,Mountain Stay,New York,Standard,97.00766772,107,14,154.94,150.3,Autumn,Tuesday,Leisure,Phone,No,50,No,56.92,207.22,1.5,2,1.6,1.7,Yes,No,No,Social Media,0,No,No,No,3,Gold,Yes,5,12.5,Yes,No,80.9,Beachside,Yes
9/27/2023,Ocean View,Seattle,Standard,88.58419529,68,2,148.75,131.77,Autumn,Wednesday,Leisure,Agent,No,59,No,72.67,204.44,4.3,6,3.1,2.4,No,Yes,Yes,Email,0,No,No,No,4,Silver,No,2,23,No,Yes,38.6,Beachside,Yes
9/28/2023,City Lodge,New York,Suite,73.14489123,168,18,193.45,141.5,Autumn,Thursday,Group,Phone,Yes,7,No,92.9,234.4,4.5,5,2,3.1,No,Yes,No,Email,0,No,No,No,1,Bronze,Yes,2,28.3,No,No,46,Downtown,No
9/29/2023,Grand Inn,Los Angeles,Standard,62.62545722,134,9,144.98,90.79,Autumn,Friday,Group,Phone,Yes,85,No,195.79,286.58,2.8,1,3.7,3.2,No,Yes,No,Email,1,No,No,No,1,Silver,Yes,5,6,No,Yes,12.93,Suburban,Yes
9/30/2023,Grand Inn,New York,Suite,82.10683895,82,27,106.74,87.64,Autumn,Saturday,Business,Online,No,67,No,34.48,122.12,3.9,1,4.3,3.2,Yes,No,No,Email,2,No,No,Yes,3,Gold,No,0,23.7,Yes,No,17.17,Suburban,Yes
10/1/2023,Ocean View,Chicago,Suite,55.396807,123,28,93.68,51.9,Autumn,Sunday,Business,Online,No,74,No,71.5,123.4,4.5,4,1.5,3.7,Yes,Yes,No,Social Media,1,No,No,No,0,Gold,No,5,11.7,No,Yes,93.26,Airport,No
10/2/2023,City Lodge,Miami,Standard,77.14536654,102,14,194.25,149.85,Autumn,Monday,Corporate,Walk-in,Yes,71,No,145.89,295.74,1.2,4,2.7,2.6,Yes,Yes,Yes,Email,0,No,No,No,2,Gold,Yes,3,5.6,No,No,73.7,Beachside,No
10/3/2023,City Lodge,Los Angeles,Suite,77.58205239,122,2,126.34,98.02,Autumn,Tuesday,Group,Walk-in,Yes,8,Yes,192.79,290.81,3.3,6,4.5,3.2,Yes,Yes,No,Google,0,No,No,No,3,Bronze,Yes,5,7.3,No,No,69.61,Suburban,Yes
10/4/2023,Mountain Stay,New York,Standard,85.90314861,175,5,170.11,146.13,Autumn,Wednesday,Leisure,Walk-in,Yes,89,No,31.14,177.27,4.4,6,3.9,3.3,No,No,Yes,OTA,1,No,No,No,1,Bronze,No,3,9.3,Yes,Yes,35.21,Beachside,Yes
10/5/2023,City Lodge,Seattle,Deluxe,100,36,11,152.15,152.15,Autumn,Thursday,Corporate,Walk-in,Yes,1,No,45.48,197.63,2.6,6,2.4,4.2,No,Yes,Yes,Email,0,Yes,Yes,Yes,4,Gold,Yes,5,6,No,No,92.76,Downtown,No
10/6/2023,City Lodge,Los Angeles,Deluxe,75.88623951,25,14,137.5,104.34,Autumn,Friday,Leisure,Online,No,79,No,45.14,149.48,2.2,1,3.6,1.3,No,Yes,No,Friend,0,No,No,No,2,Gold,Yes,3,8.6,No,Yes,43.7,Suburban,No
10/7/2023,City Lodge,Los Angeles,Deluxe,62.36554561,166,5,142.2,88.68,Autumn,Saturday,Corporate,Online,No,69,No,4.19,92.87,4.2,9,3.5,3.5,Yes,Yes,Yes,OTA,0,Yes,Yes,No,2,Gold,Yes,4,10.7,No,No,57.79,Airport,No
10/8/2023,Sunset Resort,New York,Deluxe,69.61638532,47,12,197.5,137.49,Autumn,Sunday,Leisure,Online,Yes,84,No,120.82,258.31,2.3,7,3.9,1.1,Yes,Yes,No,Social Media,0,No,No,No,0,Silver,No,2,20.7,Yes,No,10.1,Downtown,Yes
10/9/2023,Mountain Stay,Los Angeles,Suite,43.46386143,57,28,106.56,46.32,Autumn,Monday,Business,Phone,Yes,89,No,134.14,180.46,1,7,2.2,3.9,No,Yes,No,Email,1,No,No,No,4,Platinum,No,1,25.5,No,Yes,86.45,Downtown,No
10/10/2023,Grand Inn,Seattle,Standard,59.57930303,138,18,138.41,82.46,Autumn,Tuesday,Corporate,Phone,Yes,58,No,120.51,202.97,4.8,7,1.8,2.4,No,Yes,No,OTA,1,No,No,No,4,Gold,No,4,11.8,No,No,64.99,Downtown,Yes
10/11/2023,Ocean View,Los Angeles,Standard,63.86076343,56,2,177.2,113.16,Autumn,Wednesday,Leisure,Walk-in,Yes,18,No,14.26,127.42,3.4,2,2.5,4.9,No,Yes,No,Friend,0,No,No,Yes,0,Gold,Yes,4,10.2,No,Yes,50.99,Downtown,No
10/12/2023,Grand Inn,Seattle,Standard,62.13867403,134,7,111.51,69.29,Autumn,Thursday,Leisure,Phone,No,27,No,13.85,83.14,4.3,2,1.9,3.6,Yes,Yes,Yes,OTA,0,No,No,Yes,4,Gold,Yes,0,14.8,No,No,79.82,Beachside,No
10/13/2023,Mountain Stay,New York,Deluxe,72.28532308,87,7,189.52,137,Autumn,Friday,Group,Agent,Yes,71,No,42.08,179.08,4.3,6,4.7,1,Yes,Yes,Yes,Google,0,No,No,No,3,Bronze,Yes,3,5.3,Yes,No,28.5,Beachside,Yes
10/14/2023,Ocean View,Miami,Deluxe,57.66370101,196,22,176.77,101.93,Autumn,Saturday,Corporate,Online,Yes,13,No,58.06,159.99,1.3,7,3.3,4.9,Yes,No,Yes,Email,2,No,No,Yes,3,Platinum,Yes,0,6.5,No,Yes,88.69,Downtown,No
10/15/2023,Mountain Stay,Los Angeles,Standard,86.81546001,62,25,158.15,137.3,Autumn,Sunday,Leisure,Walk-in,Yes,23,No,157.31,294.61,1.7,3,4.6,3.8,No,Yes,No,Friend,0,No,No,Yes,2,Platinum,No,3,14,No,Yes,92.88,Beachside,No
10/16/2023,City Lodge,Miami,Deluxe,70.00310597,183,19,134.91,94.44,Autumn,Monday,Group,Walk-in,No,43,No,31.88,126.32,2.2,4,5,3.7,No,Yes,Yes,Google,0,No,No,Yes,2,Platinum,Yes,1,15.4,Yes,No,64.59,Downtown,Yes
10/17/2023,Ocean View,Seattle,Standard,69.86049518,77,14,107.65,75.2,Autumn,Tuesday,Leisure,Agent,No,55,No,8.82,84.02,2.3,3,2,3.1,No,Yes,No,Google,0,No,No,Yes,4,Platinum,No,5,24.8,No,Yes,84.83,Airport,Yes
10/18/2023,City Lodge,Los Angeles,Standard,65.08157925,32,3,171.21,111.43,Autumn,Wednesday,Corporate,Phone,No,89,No,78.8,190.23,3.6,7,3.6,1.6,No,No,Yes,Friend,0,Yes,Yes,No,2,Platinum,Yes,1,29.8,No,Yes,37.25,Airport,Yes
10/19/2023,Grand Inn,Chicago,Standard,72.32786026,71,18,232.46,168.13,Autumn,Thursday,Business,Walk-in,Yes,50,No,83.28,251.41,3.5,7,3.7,2.3,No,Yes,No,Friend,1,No,No,No,3,Bronze,Yes,4,7.6,No,No,14.1,Suburban,No
10/20/2023,Grand Inn,Miami,Standard,82.37647397,77,20,154.38,127.17,Autumn,Friday,Corporate,Phone,Yes,31,No,90.18,217.35,3,4,2.5,4.3,Yes,Yes,Yes,Social Media,0,Yes,Yes,Yes,2,Gold,Yes,3,27.4,Yes,No,3.08,Airport,Yes
10/21/2023,Ocean View,Los Angeles,Standard,56.99304676,51,2,95.22,54.27,Autumn,Saturday,Corporate,Phone,Yes,49,No,165.38,219.65,1.8,7,1.3,4.1,Yes,No,No,Friend,0,No,No,Yes,3,Bronze,No,4,23.6,Yes,No,26.78,Airport,No
10/22/2023,Ocean View,Miami,Standard,60.12825266,124,12,163.73,98.45,Autumn,Sunday,Leisure,Agent,No,40,No,19.6,118.05,2.5,5,2.8,4.7,No,Yes,No,Google,0,No,No,No,3,Silver,Yes,0,27.8,No,No,56.01,Airport,Yes
10/23/2023,Mountain Stay,Los Angeles,Standard,65.44410957,102,7,175.81,115.06,Autumn,Monday,Leisure,Walk-in,No,65,No,140.79,255.85,3.2,1,3.6,3.9,No,Yes,Yes,Friend,0,Yes,Yes,No,0,Bronze,Yes,3,8.7,Yes,Yes,47.43,Beachside,Yes
10/24/2023,Mountain Stay,New York,Deluxe,49.81193615,118,22,122.46,61,Autumn,Tuesday,Corporate,Phone,Yes,24,No,67.59,128.59,2.9,4,4,3.2,No,Yes,Yes,Social Media,2,No,No,No,1,Gold,No,3,23.7,No,Yes,20.98,Suburban,No
10/25/2023,City Lodge,Miami,Standard,57.7111321,123,15,130.63,75.39,Autumn,Wednesday,Group,Phone,Yes,60,Yes,62,137.39,1.5,7,4,3.8,No,No,No,Email,0,Yes,Yes,No,0,Silver,No,5,9.8,No,No,32.46,Beachside,No
10/26/2023,Ocean View,Chicago,Standard,62.8566869,47,12,127.58,80.19,Autumn,Thursday,Group,Agent,No,65,No,186.51,266.7,3.6,2,2.4,1.2,Yes,No,Yes,Friend,0,No,No,No,4,Platinum,Yes,5,6.3,No,No,38.65,Airport,No
10/27/2023,Grand Inn,Chicago,Deluxe,83.11583771,148,2,134.06,111.43,Autumn,Friday,Group,Agent,Yes,41,No,49.69,161.12,1.3,2,3.7,1.7,Yes,No,No,Social Media,1,No,No,Yes,1,Bronze,Yes,3,19.5,No,No,75.36,Downtown,Yes
10/28/2023,Mountain Stay,Seattle,Deluxe,73.93841994,189,15,144.84,107.09,Autumn,Saturday,Leisure,Phone,Yes,64,No,128.51,235.6,2.5,1,1.9,3,Yes,Yes,Yes,Social Media,0,Yes,Yes,No,3,Platinum,No,4,20.5,No,No,23.09,Airport,Yes
10/29/2023,Mountain Stay,Los Angeles,Deluxe,72.90384867,67,8,124.17,90.52,Autumn,Sunday,Leisure,Agent,Yes,35,No,55.03,145.55,3.8,2,5,2.7,No,Yes,No,Social Media,1,Yes,Yes,No,2,Bronze,Yes,0,25.1,No,No,23.22,Airport,Yes
10/30/2023,Grand Inn,Miami,Standard,82.76346943,59,27,112.92,93.46,Autumn,Monday,Corporate,Phone,No,75,No,101.43,194.89,1.1,8,3.9,2.6,Yes,Yes,No,Google,0,Yes,Yes,No,3,Gold,Yes,4,24.6,Yes,Yes,1.98,Suburban,Yes
10/31/2023,Mountain Stay,Seattle,Suite,67.93942317,116,13,155.23,105.46,Autumn,Tuesday,Business,Walk-in,Yes,8,No,157.26,262.72,3.3,8,3.6,4.4,No,Yes,No,Email,0,Yes,Yes,No,0,Gold,Yes,0,10,No,Yes,97.69,Beachside,No
11/1/2023,City Lodge,Miami,Suite,75.85697275,133,12,144.52,109.63,Autumn,Wednesday,Leisure,Online,Yes,35,No,176.34,285.97,2.3,8,4.2,3.7,Yes,No,No,Email,0,No,No,No,0,Gold,Yes,5,12.5,Yes,No,56.67,Suburban,No
11/2/2023,Ocean View,Los Angeles,Deluxe,68.45167371,151,20,136.91,93.72,Autumn,Thursday,Corporate,Agent,Yes,37,No,167.74,261.46,1,1,2,4,No,No,No,OTA,0,No,No,No,0,Gold,Yes,3,10.2,No,Yes,95.82,Downtown,Yes
11/3/2023,Grand Inn,Chicago,Suite,73.98043524,185,24,152.5,112.82,Autumn,Friday,Corporate,Online,Yes,32,No,116.44,229.26,1.8,1,1.2,1.2,No,Yes,Yes,OTA,0,No,No,No,4,Platinum,Yes,5,16.1,Yes,Yes,71.25,Suburban,Yes
11/4/2023,Ocean View,New York,Deluxe,61.25862014,174,6,104.39,63.95,Autumn,Saturday,Business,Phone,No,41,No,49.76,113.71,4.8,4,1.4,1.3,No,Yes,Yes,OTA,0,Yes,Yes,No,4,Platinum,No,5,13.3,No,No,91.3,Beachside,Yes
11/5/2023,Mountain Stay,Chicago,Standard,33.41774263,156,14,157.9,52.77,Autumn,Sunday,Group,Phone,No,60,No,132.25,185.02,3.1,6,3.5,3.4,No,Yes,Yes,Email,0,Yes,Yes,No,3,Gold,No,4,15.1,No,No,14.65,Airport,No
11/6/2023,Mountain Stay,Seattle,Suite,67.98581257,130,6,137.53,93.5,Autumn,Monday,Corporate,Phone,No,45,No,141.98,235.48,5,8,3.6,1.1,No,No,Yes,Google,1,No,No,No,2,Bronze,Yes,0,26.3,No,Yes,37.9,Airport,No
11/7/2023,Grand Inn,New York,Standard,91.34122204,163,5,157.18,143.57,Autumn,Tuesday,Corporate,Online,Yes,85,Yes,2.14,145.71,3.1,2,1.8,1.9,No,Yes,Yes,OTA,0,No,No,No,4,Bronze,No,4,14.9,Yes,No,54.05,Suburban,Yes
11/8/2023,City Lodge,Seattle,Suite,83.89323103,95,1,161.99,135.9,Autumn,Wednesday,Corporate,Phone,No,88,No,87.84,223.74,3.2,3,4.2,1.1,No,No,Yes,OTA,0,Yes,Yes,Yes,2,Platinum,Yes,5,15.3,Yes,Yes,0.58,Suburban,Yes
11/9/2023,Sunset Resort,Los Angeles,Standard,84.48096227,50,8,183.93,155.39,Autumn,Thursday,Group,Agent,Yes,60,No,168.65,324.04,2.6,6,4.6,3.3,Yes,No,No,Email,0,No,No,Yes,2,Bronze,No,0,17.6,Yes,Yes,94.79,Airport,Yes
11/10/2023,Grand Inn,New York,Suite,88.54196083,138,21,153.09,135.55,Autumn,Friday,Group,Walk-in,No,17,No,97.92,233.47,2.2,4,3.6,3.5,No,Yes,No,Google,0,No,No,Yes,0,Silver,No,4,7.8,No,No,65.23,Airport,No
11/11/2023,Sunset Resort,Seattle,Standard,71.32986386,161,23,182,129.82,Autumn,Saturday,Business,Walk-in,Yes,69,No,62.28,192.1,2,2,2,3.9,Yes,No,No,Google,1,Yes,Yes,No,2,Silver,No,2,6.7,Yes,No,23.23,Suburban,Yes
11/12/2023,Sunset Resort,Los Angeles,Standard,72.95973561,44,16,140.34,102.39,Autumn,Sunday,Leisure,Agent,No,81,No,174.36,276.75,2.4,7,1.1,3,Yes,Yes,No,Friend,0,No,No,No,1,Gold,No,4,27.7,No,Yes,63.39,Beachside,No
11/13/2023,City Lodge,Chicago,Suite,60.73522157,53,4,141.77,86.1,Autumn,Monday,Group,Walk-in,No,79,No,31.18,117.28,2.8,4,2.1,3.7,Yes,Yes,Yes,Social Media,2,No,No,No,1,Bronze,No,2,19.8,Yes,No,5.27,Airport,No
11/14/2023,Sunset Resort,Los Angeles,Standard,65.25890716,86,11,147.27,96.11,Autumn,Tuesday,Leisure,Online,No,14,No,41.29,137.4,1.8,8,3.1,2.1,No,Yes,Yes,Social Media,1,Yes,Yes,No,1,Bronze,Yes,3,18.5,Yes,No,25.38,Suburban,No
11/15/2023,Sunset Resort,Miami,Standard,79.23656725,171,0,173.22,137.25,Autumn,Wednesday,Leisure,Phone,Yes,47,No,137.47,274.72,1.9,8,2.9,3.5,Yes,Yes,Yes,Google,0,No,No,No,4,Silver,Yes,3,9.1,Yes,No,19.69,Downtown,No
11/16/2023,City Lodge,Los Angeles,Standard,88.05826656,137,9,168.93,148.76,Autumn,Thursday,Group,Phone,Yes,71,No,70.49,219.25,2.1,7,4.3,2.7,No,Yes,No,Email,0,No,No,No,2,Gold,Yes,4,9.1,No,No,41.98,Beachside,Yes
11/17/2023,Sunset Resort,Los Angeles,Suite,67.90830586,92,10,154.05,104.61,Autumn,Friday,Corporate,Phone,Yes,12,No,142.6,247.21,2.8,9,2,3.7,Yes,No,Yes,Google,0,Yes,Yes,No,0,Silver,Yes,1,12.3,No,No,20.53,Beachside,No
11/18/2023,Sunset Resort,Miami,Suite,63.24716103,45,15,113.17,71.58,Autumn,Saturday,Business,Online,No,42,No,31.54,103.12,3.6,4,3.5,1.3,Yes,No,No,Social Media,0,Yes,Yes,Yes,4,Gold,Yes,0,14.4,Yes,No,75.15,Beachside,Yes
11/19/2023,Sunset Resort,Seattle,Standard,70.00791938,167,13,168.39,117.89,Autumn,Sunday,Leisure,Online,Yes,59,No,50.45,168.34,4.4,7,3.2,2.7,No,Yes,No,Email,1,No,No,No,3,Platinum,Yes,3,14.7,No,Yes,56.23,Airport,No
11/20/2023,Grand Inn,Seattle,Standard,79.01810123,123,7,124.16,98.11,Autumn,Monday,Corporate,Online,Yes,56,No,31.33,129.44,2.1,1,3.4,3,Yes,No,Yes,OTA,0,No,No,No,3,Gold,No,1,8.8,No,No,50.48,Downtown,No
11/21/2023,Grand Inn,Los Angeles,Suite,48.34217776,29,23,122.52,59.23,Autumn,Tuesday,Group,Agent,Yes,70,No,190.58,249.81,1.7,4,2.6,3.2,Yes,No,No,Google,1,No,No,Yes,4,Platinum,Yes,2,8,No,No,61.5,Airport,No
11/22/2023,Grand Inn,Miami,Suite,35.5572857,86,16,115.85,41.19,Autumn,Wednesday,Leisure,Online,Yes,16,No,81.08,122.27,2.5,2,2.4,1.1,No,Yes,No,Google,0,Yes,Yes,Yes,2,Bronze,No,3,26.9,No,No,14.36,Suburban,No
11/23/2023,City Lodge,Miami,Standard,61.74194726,171,24,147.5,91.07,Autumn,Thursday,Leisure,Walk-in,Yes,49,No,67.44,158.51,4.6,9,4.1,2.8,No,Yes,No,Social Media,0,Yes,Yes,No,3,Silver,Yes,4,16.6,Yes,Yes,93.72,Downtown,No
11/24/2023,Mountain Stay,Chicago,Standard,51.68931361,24,17,186.35,96.32,Autumn,Friday,Leisure,Agent,Yes,31,No,2.84,99.16,1,5,4.4,3.2,No,Yes,No,Friend,0,No,No,No,2,Silver,No,2,19.2,No,No,5.4,Suburban,Yes
11/25/2023,Sunset Resort,Seattle,Standard,62.37789704,46,11,121.04,75.5,Autumn,Saturday,Corporate,Agent,No,21,Yes,30.68,106.18,3.7,3,1.3,4.8,No,Yes,Yes,Google,1,Yes,Yes,No,0,Bronze,No,3,6.4,No,No,45.41,Airport,No
11/26/2023,Sunset Resort,New York,Deluxe,67.78329522,132,24,200.36,135.81,Autumn,Sunday,Corporate,Agent,No,54,No,84.23,220.04,2.9,4,4.6,4.5,No,No,No,Social Media,0,No,No,No,2,Platinum,No,5,29.5,No,Yes,63.84,Beachside,No
11/27/2023,City Lodge,Seattle,Suite,63.20127386,34,16,177.29,112.05,Autumn,Monday,Corporate,Online,Yes,56,No,13.7,125.75,1.6,6,2.4,1.5,No,Yes,No,Google,1,Yes,Yes,Yes,3,Bronze,No,0,27.6,Yes,No,88.86,Beachside,Yes
11/28/2023,Sunset Resort,Seattle,Deluxe,91.78701302,182,27,106.06,97.35,Autumn,Tuesday,Leisure,Agent,No,12,No,102.15,199.5,2.3,1,1.8,1.4,Yes,Yes,Yes,Friend,0,No,No,No,3,Platinum,No,2,20.4,Yes,No,5.26,Beachside,No
11/29/2023,Grand Inn,Chicago,Suite,74.90117147,124,25,138.52,103.75,Autumn,Wednesday,Leisure,Online,No,46,No,91,194.75,1.9,7,1.1,4,No,No,Yes,Social Media,0,No,No,No,3,Gold,No,4,23.9,Yes,No,78.06,Downtown,Yes
11/30/2023,Mountain Stay,New York,Suite,74.50711539,63,13,118.79,88.51,Autumn,Thursday,Business,Online,Yes,86,No,153.43,241.94,4.5,8,3.8,4.2,Yes,Yes,No,OTA,0,Yes,Yes,Yes,4,Platinum,No,0,29,No,No,97.02,Beachside,No
12/1/2023,Ocean View,Chicago,Suite,79.33310716,45,15,169.95,134.83,Winter,Friday,Business,Agent,Yes,61,No,131.96,266.79,2.9,7,3.5,2.2,Yes,No,Yes,Email,0,No,No,No,0,Platinum,Yes,5,14.5,No,No,67.86,Beachside,Yes
12/2/2023,Sunset Resort,New York,Suite,52.91750323,194,13,120.36,63.69,Winter,Saturday,Corporate,Phone,No,53,No,89.19,152.88,3.3,7,4.3,4.4,No,Yes,Yes,OTA,0,Yes,Yes,Yes,4,Gold,Yes,4,12.8,No,No,27.53,Suburban,No
12/3/2023,Grand Inn,Los Angeles,Suite,85.58667681,181,8,101.37,86.76,Winter,Sunday,Corporate,Phone,Yes,28,No,44.93,131.69,3.4,9,3.7,1.7,Yes,No,Yes,Social Media,1,No,No,No,2,Gold,No,0,19.4,No,No,33.53,Suburban,Yes
12/4/2023,Ocean View,New York,Suite,68.8635357,114,3,140.23,96.57,Winter,Monday,Group,Agent,No,21,No,145.37,241.94,3.6,4,2.5,2,Yes,Yes,No,OTA,1,Yes,Yes,No,1,Platinum,No,3,5.2,No,No,61.61,Beachside,No
12/5/2023,Mountain Stay,Chicago,Suite,80.05720926,197,24,185.08,148.17,Winter,Tuesday,Corporate,Phone,No,64,No,141.57,289.74,3,7,3.3,4.4,No,Yes,No,Google,0,Yes,Yes,Yes,2,Platinum,No,3,14.2,No,No,20.74,Beachside,No
12/6/2023,Ocean View,Seattle,Deluxe,53.9221415,103,22,144.22,77.77,Winter,Wednesday,Business,Walk-in,No,28,Yes,30.66,108.43,1.1,9,2.8,3.5,No,No,Yes,OTA,0,No,No,No,2,Bronze,No,4,26.7,Yes,No,15.7,Downtown,No
12/7/2023,Grand Inn,New York,Standard,46.69361851,159,10,161.95,75.62,Winter,Thursday,Business,Walk-in,Yes,47,No,182.95,258.57,2.3,5,3.3,1.9,No,Yes,Yes,Email,1,No,No,Yes,0,Platinum,No,5,17.5,No,Yes,93.64,Airport,Yes
12/8/2023,Ocean View,New York,Standard,82.26834487,151,5,163.12,134.2,Winter,Friday,Business,Online,No,4,Yes,12.88,147.08,1.7,2,3.2,2.5,No,Yes,Yes,Friend,2,No,No,No,1,Platinum,Yes,1,11.5,No,No,96.15,Suburban,Yes
12/9/2023,City Lodge,Miami,Deluxe,75.64614289,106,14,104.63,79.15,Winter,Saturday,Leisure,Phone,Yes,34,No,11.01,90.16,3.7,5,1.5,2.7,No,No,Yes,Email,0,No,No,No,4,Bronze,Yes,0,27.1,No,No,77.92,Airport,Yes
12/10/2023,Ocean View,Seattle,Deluxe,56.46922668,195,4,123.02,69.47,Winter,Sunday,Leisure,Walk-in,Yes,73,No,37.47,106.94,1.2,4,4.9,4.1,Yes,No,No,OTA,0,No,No,Yes,0,Silver,Yes,2,24.3,No,No,7.45,Beachside,Yes
12/11/2023,Sunset Resort,Los Angeles,Deluxe,56.95505378,131,10,150.19,85.54,Winter,Monday,Corporate,Agent,Yes,82,Yes,181.89,267.43,3.3,8,3.2,5,No,No,No,Email,0,No,No,No,0,Gold,Yes,2,28.6,Yes,Yes,19.77,Downtown,No
12/12/2023,Sunset Resort,Chicago,Deluxe,86.88152177,148,24,133.28,115.8,Winter,Tuesday,Group,Phone,Yes,70,No,104,219.8,1.8,5,4.5,3.9,Yes,Yes,No,Email,1,No,No,No,0,Silver,No,5,22.4,No,No,95.47,Downtown,No
12/13/2023,City Lodge,Los Angeles,Suite,52.15882161,108,17,201.13,104.91,Winter,Wednesday,Group,Walk-in,Yes,45,No,157.59,262.5,4.8,9,1.1,1.4,Yes,No,Yes,Friend,1,No,No,No,3,Gold,No,4,15.6,No,Yes,1.3,Beachside,Yes
12/14/2023,Grand Inn,Seattle,Standard,94.6400943,85,29,113.15,107.09,Winter,Thursday,Group,Walk-in,No,34,No,45.57,152.66,2.3,9,1.4,2.4,Yes,No,No,OTA,1,Yes,Yes,Yes,3,Gold,No,2,19.3,No,Yes,62.92,Suburban,Yes
12/15/2023,Sunset Resort,New York,Suite,56.49068898,177,12,122.72,69.33,Winter,Friday,Leisure,Agent,Yes,44,No,98.04,167.37,2.3,3,2.5,4.6,Yes,Yes,Yes,Social Media,0,No,No,No,2,Silver,Yes,1,11.1,No,Yes,36.36,Beachside,Yes
12/16/2023,Mountain Stay,New York,Standard,79.57587888,150,10,158.72,126.3,Winter,Saturday,Business,Online,Yes,12,No,71.66,197.96,4.7,6,3,2.9,No,Yes,No,Google,0,No,No,No,4,Bronze,Yes,2,5.8,No,Yes,23.21,Beachside,No
12/17/2023,Sunset Resort,Seattle,Standard,65.07072286,141,13,131.16,85.35,Winter,Sunday,Business,Agent,Yes,9,No,165.57,250.92,2.7,6,1.7,1.1,No,No,Yes,OTA,0,No,No,No,1,Silver,No,5,26.7,No,No,4.46,Airport,No
